SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
d	40661541	3923430	3283 Sylvaner Ct	Pleasanton	CA	94566	37.6595	-121.850273	SFR	989000	1020000	4	3	2369	Composition Shingles	12970	"Gunite, In Ground"	"3 Garage Spaces, Attached Garage, Side Yard Access, Garage Door Opener"	"Ridge, Valley"	In Garage	1977	2	Y	"Court, Cul-de-sac, Level, Premium Lot"	Traditional	Forced Air 1 Zone	Central 1 Zone A/C	"Composition Shingles, Stucco, Wood Siding"	"Marble/Stone, Slate, Tile, Wall to Wall Carpet"	(null)	Window Coverings	1	0	0	0	29	"Rare end-of-court location with views, on private 13,000 sq. Ft. Lot!! Peaceful yard w/ pool, spa, grassy play area, deck, etc. Perfect for entertaining!! Ideal (1) bedroom & (1) full bath on 1st floor. Master w/ view balcony, stairs to yard, dual sinks, walk-in closet. 3-car garage+side yard access!!!!"
a	81418600	11307714	500 W Middlefield Road #191	Mountain View	CA	94043	37.40031052	-122.0720978	CONDO	395000	431000	1	1	720	Tar & Gravel	2000	Community Pool	"Guest Parking, 1 Car Carport"	Neighborhood	Laundry Facility - Coin-Op	1971	(null)	Y	(null)	Traditional	"Baseboard, Electric"	(null)	(null)	"Wall to Wall Carpet, Linoleum or Vinyl, Marble"	364	"Central Fire Alarm, Cable TV Available, Skylight(s)"	0	0	0	0	27	"Single level townhome with no one above or below. Spacious open floorplan with fresh paint, new carpet, travertine entry & fireplace. Light & bright-ready to move in. Living room features entire wall of windows. Convenient location close to Google & the heart of Silicon Valley. Just a few blocks to downtown Mountain View, CalTrain, LightRail. Complex features include pool & clubhouse."
d	40652944	3875674	49076 Larkspur Ter	Fremont	CA	94539	37.4607048	-121.9138718	CONDO	554900	580000	2	2	1119	Tile	(null)	(null)	"1 Garage Space, Attached Garage, Parking Space(s), Assigned Spaces, Garage Door Opener"	(null)	220 Volt Outlet	2004	1	Y	Level	Craftsman	Gas	Central 1 Zone A/C	Vinyl Siding	Wall to Wall Carpet	223	Fire Sprinklers	0	0	0	0	50	"Great 2BR/2BA floor plan condo in Mayfield ? attached 1 car garage + 1 assigned parking space. Unit in decent condition, balcony, front street entry and original upgrades. Great Location!! Top rated Warm Springs schools!! Near shopping, restaurant, easy access to I-880, I-680 and SR237. Make it yours..."
c	21409569	85434086	490 Edgewood Dr #3	Vacaville	CA	95688	38.35221863	-122.0048065	CONDO	125000	129800	2	1.5	1224	(null)	(null)	Community Pool	"1 Parking Space/Unit, Assigned"	(null)	In Closet	1968	2	(null)	Level	(null)	(null)	(null)	(null)	"Laminate, Part Carpet, Vinyl/Linoleum"	300	"Smoke Alarm(s), PG&E"	0	0	0	0	28	REO Condo in move-in condition across from Alamo Elementary School. New interior paint with new carpet on the stairs and upstairs. Downstairs laundry closet. Small patio off kitchen area.
a	81424786	11694771	303 Harrison Avenue	Santa Cruz - East Side	CA	95062	36.98435211	-122.0068359	SFR	995000	1066000	4	3	2717	Composition	6795	(null)	"Attached, Gate/Door Opener, 2 Car Garage"	Neighborhood	In Laundry Room	1963	(null)	Y	"Corner, Level"	Contemporary	"Natural Gas, Central Forced Air"	(null)	Stucco	"Tile, Wall to Wall Carpet, Hardwood"	(null)	"Fire Sprinkler System, Window Covering(s), Double Pane Window(s)"	0	0	0	0	0	"Green design with simple elegance! Remodeled & redesigned home loaded w/ tasteful, high end finishes in Santa Cruz' Banana Belt. Recipient of the city's Green Building Award, home boasts an open & sunny floor plan w/ remodeled kitchen, 2 MBR suites & 2 large multi-use areas. Big lot w/ established landscaping, lawns & raised bed gardens in sunny & flat backyard. Bold & beautiful in the Banana Belt"
c	21403917	11902830	766 Largo Ct	Fairfield	CA	94533	38.27800751	-122.0219116	SFR	225000	210000	4	1	1350	Composition	379494720	In Ground	2 Car	(null)	In Garage	1966	1	Y	Court	(null)	Central Heat	Central Air	Stucco	(null)	(null)	(null)	1	0	0	0	84	"Great court location, 4bd/2bath single story w/LOTS of potential, Inground pool."
c	21406790	(null)	Address Withheld By Seller	San Anselmo	CA	94960	0	0	CONDO	415000	415000	1	1	734	Composition	736	(null)	"Carport(s), 2 Parking Spaces/Unit, On Street Parking, Assigned"	(null)	"220 Volt Wiring, Gas, In Closet, Washer/Dryer Stacked"	1986	2	Y	City	(null)	"Central Heat, Fireplace, Natural Gas, Wood Burning"	(null)	Wood Siding	"Hardwood, Tile"	226	"Smoke Alarm(s), Cable TV available, City Utilities, DSL Available, Gas Water Heater, Natural Gas, Cable TV"	0	0	0	0	57	"This fantastic boutique condo offers a gorgeous retreat and an incredible location. The 2nd level patio that opens from the living room is nestled in the trees and gives the owner a wonderful sense of privacy. The home boasts hardwood floors throughout, beautiful kitchen with slab counters, stainless steel appliances, stackable W/D, skylights, fireplace, large windows with a view of the creek, private deck, large master suite and low HOA dues."
a	81417091	11676447	7661 Filice Drive	Gilroy	CA	95020	37.00763321	-121.5832901	SFR	599999	585000	3	2.5	1940	"Wood Shakes/Shingles, Shake"	8040	(null)	"Alley Access, Detached, Off Street Parking, 2 Car Garage"	Neighborhood	"In Garage, Hookup - Gas Dryer, 220 Volt Outlet"	1959	(null)	Y	Level	Ranch	"Natural Gas, Central Forced Air"	Central Air	"Brick, Stucco"	Hardwood	(null)	"Window Covering(s), Double Pane Window(s), Cable TV Available, Ceiling Fan(s)"	0	0	0	0	70	"This beautiful tree lined street is our Willow Glen of Gilroy. A true gem with original hardwood flooring,corner-wood burning fireplace,kitchen opens to a large dining area plus a newer,permitted master bath and bedroom suite.Newer dual paned windows,heat and A/C units. his home has been owned for over 45 years by the same family.1 great original bathroom.Covered patio with fans for outdoor dining"
b	420743	85474169	76 Collins St	SF - Jordan Lake/Laurel Heights	CA	94118	37.78492413	-122.4501405	CONDO	2595000	2600000	3	3	2596	Bitumen	(null)	(null)	"2 Garage Spaces, Interior Access, Automatic Door, Assigned, Paved Driveway"	"Panoramic, City Lights, Water, Gg Bridge, San Francisco, Downtown, Ocean, Mountains, Mt Diablo"	"Washer/Dryer, In Closet"	(null)	(null)	Y	(null)	Contemporary	"Central Heat, Gas"	(null)	Stucco	"Hardwood, Tile"	319	(null)	0	0	0	0	26	"76 Collins Street is a luxurious 2-level house-like residence with a breathtaking panoramic view penthouse family room - a half a block from Laurel Village shops, restaurants & cafes. Home features a formal living room high coved ceilings & gas fireplace & pano views. Chef's kitchen offers brand new custom cabinetry & appliances, with breakfast bar opening directly to a formal dining room for large dinner gatherings. Luxurious master suite with spa tub, a guest bedroom and full bath complete the main level. Penthouse level Great Room w/wet bar features walls of glass with commanding panoramic views taking in the ocean, GG Bridge and Downtown. A third bedroom, full bath and view decks complete the upstairs. Steps to shopping and dining!"
a	81412117	11053549	3308 Adelaide Way	Belmont	CA	94002	37.51383209	-122.3274231	SFR	1049000	1200000	4	2	1630	Shake	5500	(null)	"Attached, 2 Car Garage"	(null)	Laundry Area - In Garage	1963	(null)	Y	Level	Traditional	Central Forced Air	No Cooling	Stucco	"Wall to Wall Carpet, Hardwood"	(null)	"Double Pane Window(s), Skylight(s), Bay Window(s)"	0	0	0	0	34	"X'lent Belmont location with easy access to 280. Huge family kitchen with dining area, big skylight, hwflrs and access to rear yard. Master suite with full bath & tiled stall shower. 2nd hall bath is cheery, bright & updated. 2 bedrooms up and 2 bedrooms down. Formal living room with FP, window seat & built ins.Very nice manicured front & rear yards with small deck in rear & very private."
a	81407065	3912851	7898 Oak Creek Drive	Pleasanton	CA	94588	37.67352295	-121.9204102	SFR	949999	927500	5	3	2814	Composition	7626	Association Community Pool	"Attached, 2 Car Garage"	(null)	"220 Volts In Kitchen, 220 Volts In Laundry Area, Laundry Area - Inside, Dryer Included, Washer Included"	1971	(null)	Y	Corner	Contemporary	Central Forced Air	"Central Air, Room Air  Conditioner"	Stucco	"Tile, Wall to Wall Carpet, Hardwood"	33	"Double Pane Window(s), Vaulted or Cathedral Ceiling, Wet Bar(s), Skylight Tubes, Cable TV available, Ceiling Fan(s), Window Coverings"	1	0	0	0	61	"Fabulous open feel 5-3 corner home. Expanded family room w/ in-wall theatre spkrs, wet bar, wine cooler, gas fireplace. Huge semi-surround decking ideal for family barbecues. 5th br opened to the MBr used as an office. Updated baths. Kitchen w/ high end ss appl: Thermador pro gas range & vent, Bosch DW, warming drawer, granite. Vaulted ceilings. Hrdwd floors. View of hills."
a	81412949	11473600	686 Regas Drive	Campbell	CA	95008	37.27770615	-121.9367828	SFR	1249000	1315000	5	3	3010	Composition	6144	(null)	"Attached, 3 Or More Car Garage"	Neighborhood	"220 Volts In Kitchen, Dryer Included, Washer Included"	1989	(null)	Y	Level	(null)	Central Forced Air	Central Air	(null)	"Slate, Hardwood, Linoleum or Vinyl"	(null)	"Double Pane Window(s), High Ceilings, Vaulted or Cathedral Ceiling, Cable TV available, Window Coverings"	0	0	0	0	47	"Gorgeous home in beautiful neighborhood. Remodeled/updated kitchen with wolf stove, custom cabinets and granite countertops,3 fireplaces,new hardwood floors,plantation shutters,lrg mstr walk in closet w/cedar,3 car garage, double pained windows, huge master suite with fireplace/ new jetted tub,painted interior, beautiful new landscaped front and backyards. Walk to downtown campbell!"
d	40661013	4150074	50 Foothill Place	Pleasant Hill	CA	94523	37.96979141	-122.089325	SFR	670000	665000	3	2.5	1991	Tile	7604	(null)	"2 Garage Spaces, Attached Garage, Guest Parking, Off Street Parking, Side Yard Access, Garage Door Opener"	(null)	"Hookups Only, In Laundry Room"	1987	2	Y	"Cul-de-sac, Irregular"	Contemporary	"Forced Air 1 Zone, Gas"	Central 1 Zone A/C	Stucco	"Hardwood Floors, Linoleum, Wall to Wall Carpet"	(null)	Security Alarm System - Leased	0	0	0	0	81	Substantially Reduced!!! A Very lovely home in sought after neighborhood. Enjoy the private backyard w/deck or entertain friends in the front deck. Separate breakfast area; family room/Den w/fireplace; Newer kitchen/appliances; and much more. Perfect for busy professionals - low maintenance yard.
a	81422198	11563813	5653 Drysdale Drive	San Jose - Cambrian	CA	95124	37.234768	-121.908127	SFR	749000	871000	3	2	1258	Composition	6003	(null)	"Attached, 2 Car Garage"	Mountains	In Garage	1960	(null)	Y	(null)	Traditional	"Central Forced Air, Gas"	(null)	"Brick, Stucco"	"Tile, Wall to Wall Carpet"	(null)	"Window Covering(s), Double Pane Window(s), Cable TV Available, Ceiling Fan(s)"	0	0	0	0	32	"Great Cambrian home on Los Gatos border.Remodeled eat-in kitchen w/dining area, maple cabinets, granite counters,tile back splash and new appliances.Living room with wood burning fireplace,remodeled bathrooms with quartz counter tops and a large backyard. Quality features include beautiful floors,newly painted interior,new carpet,dual-pane windows,copper plumbing,newer 40-year roof"
d	40653637	4280276	3415 11th St	San Pablo	CA	94806	37.979313	-122.35047	SFR	220000	250000	3	1	919	(null)	3700	(null)	"1 Garage Space, Attached Garage"	(null)	"Hookups Only, In Garage"	1953	1	Y	Level	Contemporary	Wall Furnace	(null)	Stucco	"Concrete Slab, Laminate, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	44	"Nice home for first time buyer with 3 bedrooms 1 bath and 1 car garage, Nice upgraded kitchen and bath, Pergo floor and good size yard, Easy access to Freeway."
d	40658798	3830866	2675 Leeward St	Hayward	CA	94545	37.62939835	-122.1043091	SFR	428900	420000	3	2	1500	Composition Shingles	5700	(null)	(null)	(null)	220 Volt Outlet	1957	1	(null)	Regular	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Laminate, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	83	"Beautifully remodeled home shows pride of ownership. Open floor plan with granite counters, tile and hardwood floors, updated bathrooms with updated shower and vanities, new paint and more.... Don't miss out."
d	40657846	3937308	4971 Jenkins Pl	Dublin	CA	94568	37.71459961	-121.8630371	SFR	1098000	1100000	4	3.5	3370	Tile	6855	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"Hookups Only, In Laundry Room"	2005	2	Y	Cul-de-sac	(null)	Forced Air 2 Zones	Central 2 or more Zones A/C	"Stone, Stucco"	"Hardwood Floors, Wall to Wall Carpet"	55	(null)	0	0	0	0	47	"This beautiful highly desired Treviso model. Located in a great school district. A sunny n bright two story home on cul-de sac. Wainscoting throughout the dinning, living, master room.Beautiful dark hardwood, crown moulding. Open floor plan, great for entertaining"
a	81413277	10970983	1053 South Mayfair Avenue	Daly City	CA	94015	37.69423676	-122.4936523	SFR	699000	780000	3	1	1260	"Shingle, Composition"	3200	(null)	"Attached, Electric Door or Gate Opener, Tandem, 3 Or More Car Garage"	Neighborhood	"Laundry Area - In Garage, Dryer Included, Washer Included"	1954	(null)	Y	Level	Contemporary	"Central Forced Air, Gas"	No Cooling	Stucco	"Tile, Laminate"	(null)	"Double Pane Window(s), Window Coverings"	0	0	0	0	36	"Wow, what a house! All Renovated with permits. Beautifully remodeled kitchen with stainless steel appliances, remodeled bathroom, freshly painted interior,Dual Pane Windows,tankless water heater,Upscale Washer & Dryer, synthetic lawn in front & back yard,large full basement for potential living area.Contractor says Insulated ceilings & walls and double insulated floor. Offers due 4-30 by 10 pm."
d	40651937	4041445	4019 Sheffield Dr	Antioch	CA	94531	37.98243332	-121.7795563	SFR	299950	325000	3	3	1884	Tile	7410	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	Hookups Only	1991	1	Y	Regular	Contemporary	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Linoleum, Wall to Wall Carpet"	(null)	Central Vacuum	0	0	0	0	40	"One story beauty!! New paint, carpet linoleum, master bath updated, fully landscaped backyard, small shed, 3 bedrooms with 3 full bathrooms, one bedroom is a junior master, open floor plan, vaulted ceilings and large awning in backyard!! This is a must see!!!!!!"
a	81425291	11381423	85 N Buena Vista Avenue	San Jose - Central	CA	95126	37.32421112	-121.91922	SFR	729000	739000	3	2	1410	"Shingle, Composition"	5040	(null)	1 Car Garage	(null)	In Laundry Room	1918	(null)	(null)	(null)	(null)	Central Forced Air	(null)	(null)	Hardwood	(null)	Double Pane Window(s)	0	0	0	0	31	"Beautiful home with new additions of 330sqft. House has charming Craftsman era architectural details throughout. New central heating, kitchen with stainless steel appliances, mastersuite and upgraded bathrooms. Great location, just blocks from Westfield Valley Fair Shopping Center!"
d	40657131	4111723	329 Mount Palomar Pl	Clayton	CA	94517	37.92903137	-121.9286194	SFR	675000	727000	4	2	2261	Tile	10925	Pool	"3 Garage Spaces, Attached Garage"	"Hills, Mt Diablo"	"Hookups Only, In Laundry Room"	1976	1	Y	"Cul-de-sac, Level"	"Ranch, Spanish"	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Hardwood Floors, Wall to Wall Carpet"	59	Window Coverings	1	0	0	0	39	"Quiet Cul de sac location! Kitchen remodeled with Wolf and Dacor appliances, hardwood floors & sleek granite counters, cherrywood cabs. Cathedral ceiling in Fam & Liv rms, Anderson windows & doors open to back patio. Gas starter fireplace, Community pool, greenbelt, views of Mt. Diablo. Walk to DT."
a	81419081	11687774	1307 W Cliff Drive	Santa Cruz - West Side	CA	95060	36.9505043	-122.0446167	SFR	3995000	3995000	4	3	2310	"Composition, Shake"	21257	(null)	"Attached, Off Street Parking, 1 Car Garage"	"Bay, Green Belt, Mountains, Neighborhood, Ocean, City Lights"	"In Garage, In Laundry Room, Hookup - Gas Dryer, 220 Volt Outlet"	1940	(null)	Y	"Level, Sloped Down"	"Cape Cod, Cottage/Bungalow"	"Fireplace, Wall Furnace, Central Forced Air"	(null)	Wood	"Partial Hardwood, Tile, Hardwood"	(null)	Cable TV Available	0	0	0	0	32	"Who says you can't have too much of a good thing. Where land meets the sea, you will find Santa Cruz's premier ocean fronting home on West Cliff Drive, a 2.5 mile stretch of pure joy and scenic beauty. Truly the ""cottage by the sea"" you have always dreamed you could own...is now offered for sale. Go ahead, Make your day! Comes with sweet guest house, and your own 'toes in the sand beach! FABULOUS."
a	81419952	11491071	2250 Shibley Avenue	San Jose - Willow Glen	CA	95125	37.28648758	-121.8964844	SFR	789900	782000	3	1	1272	Composition	8775	(null)	"Detached, Gate/Door Opener, 2 Car Garage"	Neighborhood	"In Garage, 220 Volt Outlet"	1949	(null)	(null)	Level	Ranch	Central Forced Air	Central Air	Stucco	"Tile, Hardwood"	(null)	"Window Covering(s), Double Pane Window(s)"	0	0	0	0	69	"Willow Glen Charmer! This lovely and inviting home has a bright, open floor plan w/hardwood and tile floors/Remodeled kitchen w/granite counters and newer cabinets/Dual pane windows/Newer remodeled bathroom/Detached 2 car garage/Large private rear yard/Across the street from Wallenberg Park. This home is nice and a must see!"
c	21407356	7084238	59 Portsmouth Dr	Novato	CA	94949	38.06148911	-122.522728	SFR	849000	855000	4	2.5	3100	(null)	4360	(null)	"2 Car, Attached, Auto Door"	Hills	"Dryer Included, Washer Included"	2003	2	Y	Level	(null)	Central Heat	Central Air	Stucco	"Tile, Wall-to-Wall Carpet"	19	PG&E	0	0	0	0	80	"Amazing value! Built in 2004, this gorgeous 4bd/2.5ba home has incredible views & is move-in ready! Excellent open floor plan w/ eat-in kitchen/great room, formal living/dining room combo w/custom tile flooring. Brand-new carpet upstairs & loft for extra play area/office. Slate tile backyard patio w/ built-in seating, pergola & hot tub. Minutes from Hamilton marketplace for shopping & dining. Easy access to Hwys for SF commute & wine country."
